,"Jan 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
"Commercial",295102.84,204700.86,174075.99,229297.12,226160.99,137420.23,190092.71,204987.17,117884.84,212920.71,128513.21,344444.73,2465601.40
"Fluid",8907.75,5859.35,11875.31,4787.92,2352.00,12606.61,18653.94,11904.40,4264.00,63537.16,17926.58,17713.25,180388.27
"Hospital",44263.03,27967.25,60217.89,56100.65,56134.01,90241.13,56534.12,51723.57,33433.81,90881.79,16948.69,28629.54,613075.48
"Hospital Service",285344.98,459452.76,421848.59,259120.81,289251.43,371964.29,661339.77,350906.24,366746.87,378003.95,269852.63,765027.91,4878860.23
"Reseller",328464.26,133827.70,231997.61,196338.90,263830.70,166340.63,238058.39,164941.29,250324.14,171494.82,273777.71,155921.05,2575317.20
"School - University",50686.00,86017.42,10405.32,25822.14,65495.80,43912.42,50203.61,108316.61,48193.46,45075.46,46755.37,10413.67,591297.28
"Turbine",272357.87,114646.00,428758.37,163383.76,693936.99,151060.57,192467.25,112672.50,188621.31,49038.33,51383.38,258783.25,2677109.58
"Turbine Service",171658.85,75364.27,461277.01,238375.93,486411.08,78615.56,22079.68,37199.52,10846.90,13318.25,102269.61,353365.68,2050782.34
"TOTAL",1456785.58,1107835.61,1800456.09,1173227.23,2083573.00,1052161.44,1429429.47,1042651.30,1020315.33,1024270.47,907427.18,1934299.08,16032431.78
