,"Jan 21 - 31, 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"Inventory","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"012-SCE-.25 (Sponge, SCE41, 0.25"" thick   .25"" x.492 x 22.625""L)",0.00,0.00,0.0%,0.00,96,62.40,0.0%,0.65,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,168,0.00,0.0%,0.00,96,62.40,0.0%,0.65,200,134.00,0.0%,0.67,96,224.64,0.0%,2.34,0.00,0.00,0.0%,0.00,1016,929.20,0.1%,0.91,1672.00,1412.64,0.0%,0.84
"1020-3ply (10x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,15.08,0.0%,7.54
"1025-3ply (10x25 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,16.68,0.0%,8.34,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,16.68,0.0%,8.34
"1142-2ply (11x42 MZP 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,128,2497.28,0.1%,19.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,122,2380.22,0.2%,19.51,0.00,0.00,0.0%,0.00,64,1248.64,0.1%,19.51,0.00,0.00,0.0%,0.00,80,1560.80,0.2%,19.51,0.00,0.00,0.0%,0.00,394.00,7686.94,0.1%,19.51
"12.24.2 Nova Pleat (12x24x2 NovaPleat No Wire)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,601.92,0.0%,12.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48.00,601.92,0.0%,12.54
"1212-2Ply (12x12 2-Ply Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.30,0.0%,5.30,0.00,0.00,0.0%,0.00,1,5.30,0.0%,5.30,2.00,10.60,0.0%,5.30
"1212-3Ply (12x12 3-Ply Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.66,0.0%,6.66,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,14.75,0.0%,7.38,1,8.09,0.0%,8.09,1,8.09,0.0%,8.09,0.00,0.00,0.0%,0.00,1,8.09,0.0%,8.09,5,48.75,0.0%,9.75,11.00,94.43,0.0%,8.58
"12120-2ply (12x120 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,112.32,0.0%,28.08,0.00,0.00,0.0%,0.00,4,112.32,0.0%,28.08,0.00,0.00,0.0%,0.00,4,112.32,0.0%,28.08,12.00,336.96,0.0%,28.08
"12120-3ply (12x120 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,59.24,0.0%,29.62,4,118.48,0.0%,29.62,2,59.24,0.0%,29.62,0.00,0.00,0.0%,0.00,2,59.24,0.0%,29.62,2,59.24,0.0%,29.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,355.44,0.0%,29.62
"1212W-2Ply-P (12""  x 12""   2 Ply Panel Filter)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,24.27,0.0%,8.09,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3.00,24.27,0.0%,8.09
"12144-2PLY-6L (12x144 2 Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,33.13,0.0%,33.13,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,33.13,0.0%,33.13
"1218-2ply (12x18 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.34,0.0%,6.17,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.34,0.0%,6.17,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.34,0.0%,6.17,0.00,0.00,0.0%,0.00,2,12.34,0.0%,6.17,8.00,49.36,0.0%,6.17
"1220-2ply (12x20 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,21.92,0.0%,5.48,0.00,0.00,0.0%,0.00,2,10.96,0.0%,5.48,0.00,0.00,0.0%,0.00,2,10.96,0.0%,5.48,8.00,43.84,0.0%,5.48
"1220-3ply (12x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,10.66,0.0%,5.33,4,25.94,0.0%,6.49,2,10.66,0.0%,5.33,0.00,0.00,0.0%,0.00,2,10.66,0.0%,5.33,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10.00,57.92,0.0%,5.79
"1224-2ply (12x24 2-Ply Poly Panel)",90,663.30,0.1%,7.37,19,122.54,0.0%,6.45,48,343.82,0.0%,7.16,20,134.31,0.0%,6.72,6,36.48,0.0%,6.08,36,271.02,0.0%,7.53,22,140.86,0.0%,6.40,75,436.02,0.0%,5.81,23,180.48,0.0%,7.85,60,351.72,0.0%,5.86,9,59.58,0.0%,6.62,82,478.12,0.0%,5.83,490.00,3218.25,0.0%,6.57
"1224-3ply (12x24 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,20,108.13,0.0%,5.41,42,232.71,0.0%,5.54,16,87.95,0.0%,5.50,12,63.96,0.0%,5.33,28,151.91,0.0%,5.43,21,128.17,0.0%,6.10,7,53.55,0.0%,7.65,7,53.55,0.0%,7.65,3,18.66,0.0%,6.22,7,53.55,0.0%,7.65,243,3082.60,0.2%,12.69,406.00,4034.74,0.0%,9.94
"1243-2ply (12x43 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.35,0.0%,11.35,0.00,0.00,0.0%,0.00,1,11.35,0.0%,11.35,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,22.70,0.0%,11.35
"1243-3ply (12x43 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,1,11.51,0.0%,11.51,0.00,0.00,0.0%,0.00,1,11.51,0.0%,11.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,23.02,0.0%,11.51
"1272-2Ply (12x72 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,50.55,0.0%,16.85,0.00,0.00,0.0%,0.00,2,33.70,0.0%,16.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5.00,84.25,0.0%,16.85
"1272-3Ply (12x72 3-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,2,40.26,0.0%,20.13,4,89.94,0.0%,22.49,2,40.26,0.0%,20.13,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,20.13,0.0%,20.13,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9.00,190.59,0.0%,21.18
"1296-2ply (12x96 2-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,78.24,0.0%,26.08,0.00,0.00,0.0%,0.00,6,156.48,0.0%,26.08,0.00,0.00,0.0%,0.00,6,156.48,0.0%,26.08,15.00,391.20,0.0%,26.08
"1296-3Ply (12x96 3-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9.00,284.85,0.0%,31.65
"1321-2ply (13x21 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.05,0.0%,6.05,0.00,0.00,0.0%,0.00,1,6.05,0.0%,6.05,2.00,12.10,0.0%,6.05
"1321-3ply (13x21 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.85,0.0%,6.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.85,0.0%,6.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,19.40,0.0%,9.70,4.00,33.10,0.0%,8.28
"1322-2ply (13x22 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.75,0.0%,5.75,0.00,0.00,0.0%,0.00,2,11.50,0.0%,5.75,3.00,17.25,0.0%,5.75
"1322-3ply (13x22 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,7.10,0.0%,7.10,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,21.30,0.0%,7.10,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,28.40,0.0%,7.10
"1414-2ply (14x14 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,24.60,0.0%,4.92,5.00,24.60,0.0%,4.92
"1414-3ply (14x14 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,13.20,0.0%,6.60,3,19.80,0.0%,6.60,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,32.70,0.0%,10.90,8.00,65.70,0.0%,8.21
"1419-2ply (14x19 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,55.40,0.0%,5.54,10.00,55.40,0.0%,5.54
"1419-3ply (14x19 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,67.40,0.0%,6.74,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10.00,67.40,0.0%,6.74
"1420-3ply (14x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,29.00,0.0%,14.50,2.00,29.00,0.0%,14.50
"1424-2ply (14x24 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,14.46,0.0%,7.23,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.97,0.0%,5.97,0.00,0.00,0.0%,0.00,7,41.79,0.0%,5.97,10.00,62.22,0.0%,6.22
"1424-3ply (14x24 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.64,0.0%,6.64,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,39.84,0.0%,6.64,1,6.64,0.0%,6.64,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8.00,53.12,0.0%,6.64
"1425-2ply (14x25 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,96,540.48,0.0%,5.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,97,546.54,0.1%,5.63,0.00,0.00,0.0%,0.00,3,18.18,0.0%,6.06,0.00,0.00,0.0%,0.00,34,206.04,0.0%,6.06,230.00,1311.24,0.0%,5.70
"1425-3ply (14x25 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,23.08,0.0%,5.77,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.77,0.0%,5.77,35,201.95,0.0%,5.77,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,40.00,230.80,0.0%,5.77
"1428-2ply (14x28 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,0.00,0.00,0.0%,0.00,4,30.16,0.0%,7.54,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,8.00,60.32,0.0%,7.54
"1428-3ply (14x28 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,15.66,0.0%,7.83,2,15.66,0.0%,7.83,2,15.66,0.0%,7.83,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,15.66,0.0%,7.83,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8.00,62.64,0.0%,7.83
