,"Jan 21 - 31, 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"1430-3Ply (14x30 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,42.24,0.0%,10.56,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,42.24,0.0%,10.56,2,24.38,0.0%,12.19,2,24.38,0.0%,12.19,2,24.38,0.0%,12.19,0.00,0.00,0.0%,0.00,2,24.38,0.0%,12.19,21,312.90,0.0%,14.90,37.00,494.90,0.0%,13.38
"1438-2ply (14x38 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,30.90,0.0%,10.30,0.00,0.00,0.0%,0.00,3,30.90,0.0%,10.30,6.00,61.80,0.0%,10.30
"1438-3ply (14x38 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,31.29,0.0%,10.43,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,31.29,0.0%,10.43,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6.00,62.58,0.0%,10.43
"1444-2ply (14x44 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,30.76,0.0%,15.38,0.00,0.00,0.0%,0.00,2,30.76,0.0%,15.38,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,61.52,0.0%,15.38
"1444-3ply (14x44 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,29.82,0.0%,14.91,0.00,0.00,0.0%,0.00,2,29.82,0.0%,14.91,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,59.64,0.0%,14.91
"1520-2ply (15x20 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.88,0.0%,6.88,1,6.88,0.0%,6.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.88,0.0%,6.88,2,12.68,0.0%,6.34,0.00,0.00,0.0%,0.00,3,19.56,0.0%,6.52,0.00,0.00,0.0%,0.00,1,6.88,0.0%,6.88,9.00,59.76,0.0%,6.64
"1520-3ply (15x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,21.88,0.0%,5.47,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,10.94,0.0%,5.47,2,10.94,0.0%,5.47,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8.00,43.76,0.0%,5.47
"1530-2Ply (15x30 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,15.74,0.0%,7.87,2.00,15.74,0.0%,7.87
"15305/8-2Ply (15x30 5/8 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,110.88,0.0%,7.92,0.00,0.00,0.0%,0.00,12,95.04,0.0%,7.92,26.00,205.92,0.0%,7.92
"15305/8-3Ply (15x30 -5/8 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,95.20,0.0%,6.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,11,74.80,0.0%,6.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,43.30,0.0%,14.43,28.00,213.30,0.0%,7.62
"1534-2ply (15x34 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,16.42,0.0%,8.21,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,16.42,0.0%,8.21,4.00,32.84,0.0%,8.21
"1616-2Ply (16x16 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,129,670.80,0.1%,5.20,0.00,0.00,0.0%,0.00,45,234.00,0.0%,5.20,0.00,0.00,0.0%,0.00,24,124.80,0.0%,5.20,198.00,1029.60,0.0%,5.20
"1616-3Ply (16x16 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,21,106.68,0.0%,5.08,29,149.44,0.0%,5.15,21,106.68,0.0%,5.08,0.00,0.00,0.0%,0.00,4,20.32,0.0%,5.08,20,101.60,0.0%,5.08,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,9.70,0.0%,9.70,96.00,494.42,0.0%,5.15
"1620-2Ply (16x20 2-Ply Poly Panels)",1,9.78,0.0%,9.78,0.00,0.00,0.0%,0.00,4,64.92,0.0%,16.23,12,94.42,0.0%,7.87,10,64.10,0.0%,6.41,4,64.92,0.0%,16.23,1,5.79,0.0%,5.79,16,102.40,0.0%,6.40,8,99.88,0.0%,12.49,28,157.53,0.0%,5.63,5,44.74,0.0%,8.95,20,112.57,0.0%,5.63,109.00,821.05,0.0%,7.53
"1620-3Ply (16x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,9,49.95,0.0%,5.55,26,155.75,0.0%,5.99,9,49.95,0.0%,5.55,0.00,0.00,0.0%,0.00,3,16.65,0.0%,5.55,18,105.33,0.0%,5.85,2,16.53,0.0%,8.27,2,16.53,0.0%,8.27,0.00,0.00,0.0%,0.00,2,16.53,0.0%,8.27,20,195.00,0.0%,9.75,91.00,622.22,0.0%,6.84
"1622-2Ply (16x22 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,50.89,0.0%,7.27,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,50.89,0.0%,7.27,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,50.89,0.0%,7.27,0.00,0.00,0.0%,0.00,7,50.89,0.0%,7.27,28.00,203.56,0.0%,7.27
"1624-2ply (16x24 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,16.74,0.0%,16.74,6,52.44,0.0%,8.74,0.00,0.00,0.0%,0.00,1,16.74,0.0%,16.74,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,28.80,0.0%,9.60,4,24.12,0.0%,6.03,0.00,0.00,0.0%,0.00,7,42.21,0.0%,6.03,22.00,181.05,0.0%,8.23
