,"Jan 21 - 31, 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"Inventory","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"CI-MP415P-12244 (12x24x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,4,261.70,0.0%,65.43,12,1095.45,0.1%,91.29,22,1448.64,0.1%,65.85,2,140.01,0.0%,70.01,0.00,0.00,0.0%,0.00,10,1057.20,0.1%,105.72,36,2395.12,0.2%,66.53,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,16,1025.88,0.1%,64.12,0.00,0.00,0.0%,0.00,102.00,7424.00,0.0%,72.78
"CI-MP415P-16204 (16x20x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,12,904.92,0.1%,75.41,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,274.72,0.0%,68.68,0.00,0.00,0.0%,0.00,2,159.02,0.0%,79.51,2,137.36,0.0%,68.68,0.00,0.00,0.0%,0.00,4,290.20,0.0%,72.55,0.00,0.00,0.0%,0.00,24.00,1766.22,0.0%,73.59
"CI-MP415P-18244 (18x24x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,168.66,0.0%,84.33,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,168.66,0.0%,84.33
"CI-MP415P-20204 (20x20x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,12,810.00,0.1%,67.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,810.00,0.0%,67.50
"CI-MP415P-20244 (20x24x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,24,1954.80,0.2%,81.45,10,840.64,0.0%,84.06,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,131.71,0.0%,131.71,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,35.00,2927.15,0.0%,83.63
"CI-MP415P-20254 (20x25x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,6,513.00,0.0%,85.50,0.00,0.00,0.0%,0.00,24,2052.00,0.2%,85.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,342.00,0.0%,85.50,6,513.00,0.0%,85.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,1,78.77,0.0%,78.77,41.00,3498.77,0.0%,85.34
"CI-MP415P-24244 (24x24x4 MERV 15 Mini Pleat Plastic Frame)",0.00,0.00,0.0%,0.00,253,21344.86,1.9%,84.37,41,4336.91,0.2%,105.78,32,2826.48,0.2%,88.33,55,4302.48,0.2%,78.23,4,293.16,0.0%,73.29,26,3819.14,0.3%,146.89,121,10243.90,1.0%,84.66,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,32,2826.48,0.3%,88.33,0.00,0.00,0.0%,0.00,564.00,49993.41,0.3%,88.64
"CI-MP4H15P-1224 (12x24x4 MERV 15 Mini Pleat Plastic Frame Headered)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,21,1303.05,0.1%,62.05,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,21.00,1303.05,0.0%,62.05
"CI-MP4H15P-2024 (20x24x4 MERV 15 Mini Pleat Plastic Frame w/ Header)",0.00,0.00,0.0%,0.00,4,315.08,0.0%,78.77,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,315.08,0.0%,78.77
"CI-MP4H15P-2025 (20x25x4, MERV 15 Mini Pleat w/Header)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,2081.64,0.1%,173.47,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,2081.64,0.0%,173.47
"CI-MP4H15P-2424 (24x24x4 MERV 15 Mini Pleat Plastic Frame Headered)",0.00,0.00,0.0%,0.00,-12,0.00,0.0%,0.00,6,881.34,0.0%,146.89,0.00,0.00,0.0%,0.00,44,3413.08,0.2%,77.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,38.00,4294.42,0.0%,113.01
"Dist Pad (Dist Pads 2x12x72)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,914.40,0.1%,38.10,4,125.72,0.0%,31.43,56,2084.32,0.1%,37.22,16,595.52,0.1%,37.22,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,96,3230.40,0.2%,33.65,196.00,6950.36,0.0%,35.46
"DUP MINIRF-2/60 (16x20x2 Mini Roughing Filter)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,152.30,0.0%,76.15,2.00,152.30,0.0%,76.15
"F-38-16-RN- W (3/8"" - 16 Retention Nut  Zinc Aluminum Alloy #3, Zinc Surface Coated)",0.00,0.00,0.0%,0.00,471,682.95,0.1%,1.45,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,471.00,682.95,0.0%,1.45
"F-716-20-RN-W (7/16"" - 20 Retention Nut)",0.00,0.00,0.0%,0.00,500,725.00,0.1%,1.45,5000,7250.00,0.4%,1.45,0.00,0.00,0.0%,0.00,5000,7250.00,0.3%,1.45,2500,3598.33,0.3%,1.44,2100,3045.00,0.2%,1.45,0.00,0.00,0.0%,0.00,7600,11020.00,1.1%,1.45,0.00,0.00,0.0%,0.00,1200,1740.00,0.2%,1.45,0.00,0.00,0.0%,0.00,23900.00,34628.33,0.2%,1.45
"F-F5SS2424-RP-W (EFS F5 (MERV 8)  Reverse Pocket Filter (24x24x13), Synthetic Poc...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,144.00,0.0%,72.00,2.00,144.00,0.0%,72.00
"F-G41224-CFC-W (EFS G4 CFC Coalescing Pocket Filter 12x24x15 Synthetic 3P)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,401.80,0.0%,40.18,0.00,0.00,0.0%,0.00,12,482.16,0.1%,40.18,0.00,0.00,0.0%,0.00,22.00,883.96,0.0%,40.18
"F-G42424-CFC-W (EFS G4 CFC Coalescing Pocket Filter 24x24x15 Synthetic 6P)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,60,3216.60,0.3%,53.61,60,3216.60,0.2%,53.61,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,50,3060.00,0.3%,61.20,0.00,0.00,0.0%,0.00,20,1224.00,0.1%,61.20,0.00,0.00,0.0%,0.00,190.00,10717.20,0.1%,56.41
"F-G4SS1224-RP-W (EFS G4 Reverse 3-Pocket Filter 12x24x13 Synthetic)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,19,1195.53,0.1%,62.92,5,312.75,0.0%,62.55,25,987.50,0.0%,39.50,25,1851.00,0.2%,74.04,47,3190.18,0.2%,67.88,0.00,0.00,0.0%,0.00,2,168.00,0.0%,84.00,5,312.75,0.0%,62.55,0.00,0.00,0.0%,0.00,11,881.10,0.0%,80.10,139.00,8898.81,0.1%,64.02
"F-G4SS2424-RP-W (EFS G4 Reverse 6-Pocket Filter 24x24x13 Synthetic)",0.00,0.00,0.0%,0.00,108,9182.48,0.8%,85.02,1188,102964.56,5.7%,86.67,203,15291.48,1.3%,75.33,1728,142351.35,6.8%,82.38,960,76778.36,7.3%,79.98,771,64190.71,4.5%,83.26,124,9394.64,0.9%,75.76,616,49181.34,4.8%,79.84,37,2921.26,0.3%,78.95,7,509.70,0.1%,72.81,646,54883.90,2.8%,84.96,6388.00,527649.78,3.5%,82.60
"F-SBP-MERV8-45122- (METRO, Filter, Air, HVAC pleated  45-3/4"" x 12-1/4"" x 1-3/4"";...",0.00,0.00,0.0%,0.00,228,4288.68,0.4%,18.81,0.00,0.00,0.0%,0.00,228,4288.68,0.4%,18.81,0.00,0.00,0.0%,0.00,228,4288.68,0.4%,18.81,0.00,0.00,0.0%,0.00,240,4636.80,0.4%,19.32,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,924.00,17502.84,0.1%,18.94
"F5-06-122422 (12x24x22, F5 (50%), 6 Pocket, Synthetic Bag Filter with Extruded Al...",0.00,0.00,0.0%,0.00,16,820.48,0.1%,51.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,256.40,0.0%,51.28,16,820.48,0.1%,51.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,256.40,0.0%,51.28,42.00,2153.76,0.0%,51.28
"F5-06-242422 (24x24x22, F5 (50%), 6 Pocket, Synthetic Bag Filter with Extruded Al...",0.00,0.00,0.0%,0.00,16,857.12,0.1%,53.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,535.70,0.0%,53.57,16,857.12,0.1%,53.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,535.70,0.0%,53.57,52.00,2785.64,0.0%,53.57
"F5-242424-6W (EFS 24x24x24, 50% Depth Loading Synthetic Pocket Filter (6 pockets))",104,7878.04,1.5%,75.75,54,4719.00,0.4%,87.39,102,6883.56,0.4%,67.49,38,3406.32,0.3%,89.64,350,23373.00,1.1%,66.78,16,1555.52,0.1%,97.22,0.00,0.00,0.0%,0.00,16,1555.52,0.1%,97.22,6,624.36,0.1%,104.06,16,1555.52,0.2%,97.22,0.00,0.00,0.0%,0.00,80,5645.54,0.3%,70.57,782.00,57196.38,0.4%,73.14
"F5-242426-6W (EFS 24x24x26, 50% Depth Loading Synthetic Pocket Filter (6 pockets))",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,34,2427.94,0.2%,71.41,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,34.00,2427.94,0.0%,71.41
"F50 1/1 (Viledon  24x24x26  50% Pocket)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,18,1591.20,0.1%,88.40,18.00,1591.20,0.0%,88.40
"F5S-122418-3W (EFS 12x24x18, 50% Depth Loading Synthetic Pocket Filter (3 pockets))",0.00,0.00,0.0%,0.00,14,1072.14,0.1%,76.58,36,2677.60,0.1%,74.38,0.00,0.00,0.0%,0.00,8,594.88,0.0%,74.36,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,136.90,0.0%,68.45,0.00,0.00,0.0%,0.00,2,147.34,0.0%,73.67,5,371.80,0.0%,74.36,4,313.08,0.0%,78.27,71.00,5313.74,0.0%,74.84
"F5S-242418-6W (EFS 24x24x18, 50% Depth Loading Synthetic Pocket Filter (6 pockets))",25,1857.50,0.4%,74.30,135,11614.22,1.1%,86.03,124,10659.96,0.6%,85.97,12,981.12,0.1%,81.76,29,2314.76,0.1%,79.82,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,28,2191.00,0.2%,78.25,75,6475.50,0.6%,86.34,615,54444.30,5.3%,88.53,46,3872.62,0.4%,84.19,65,5311.10,0.3%,81.71,1154.00,99722.08,0.7%,86.41
"F5S-242420-6W (EFS F5 Pocket Filter (24x24x20), Synthetic Pocket Filter (6 pockets))",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,4302.72,0.4%,89.64,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48.00,4302.72,0.0%,89.64
"F5SS-122412-3W (EFS 12x24x12, 50% Depth Loading Synthetic Pocket Filter (3 pockets))",0.00,0.00,0.0%,0.00,3,189.18,0.0%,63.06,0.00,0.00,0.0%,0.00,28,1818.04,0.2%,64.93,0.00,0.00,0.0%,0.00,6,354.72,0.0%,59.12,42,2331.84,0.2%,55.52,19,1246.18,0.1%,65.59,0.00,0.00,0.0%,0.00,2,130.88,0.0%,65.44,6,392.64,0.0%,65.44,2,86.18,0.0%,43.09,108.00,6549.66,0.0%,60.65
"F5SS-202412-6W (EFS 20x24x12 MERV 8 Depth Loading Synthetic Pocket Filter (6 pock...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,791.80,0.1%,79.18,0.00,0.00,0.0%,0.00,12,622.56,0.0%,51.88,22.00,1414.36,0.0%,64.29
"F5SS-242412-6W (EFS 24x24x12, 50% Depth Loading Synthetic Pocket Filter (6 pockets))",83,4695.76,0.9%,56.58,70,5124.70,0.5%,73.21,121,9492.65,0.5%,78.45,26,1899.17,0.2%,73.05,30,2186.94,0.1%,72.90,154,8628.40,0.8%,56.03,74,4264.52,0.3%,57.63,86,6536.92,0.6%,76.01,25,1619.69,0.2%,64.79,2,145.64,0.0%,72.82,27,1948.11,0.2%,72.15,37,2197.76,0.1%,59.40,735.00,48740.26,0.3%,66.31
"F6-122424-3W (EFS 12x24x24, 60% Depth Loading Synthetic Pocket Filter (3 pockets))",0.00,0.00,0.0%,0.00,15,1299.00,0.1%,86.60,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,153.10,0.0%,76.55,17.00,1452.10,0.0%,85.42
"F6-242424-8W (EFS 24x24x24, 60% Depth Loading Synthetic Pocket Filter (8 pockets))",232,16948.48,3.2%,73.05,147,11910.78,1.1%,81.03,80,5540.80,0.3%,69.26,42,3128.58,0.3%,74.49,98,6787.38,0.3%,69.26,16,1422.56,0.1%,88.91,32,2383.68,0.2%,74.49,110,7974.00,0.8%,72.49,0.00,0.00,0.0%,0.00,-67,-4702.20,-0.5%,70.18,2,72.40,0.0%,36.20,73,6795.72,0.4%,93.09,765.00,58262.18,0.4%,76.16
"F6S-122418-3W (EFS 12x24x18, 60% Depth Loading Synthetic Pocket Filter (4 pockets))",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,696.32,0.0%,87.04,9,1085.94,0.1%,120.66,0.00,0.00,0.0%,0.00,28,2321.12,0.2%,82.90,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,792.60,0.1%,66.05,0.00,0.00,0.0%,0.00,3,198.15,0.0%,66.05,34,2533.40,0.1%,74.51,94.00,7627.53,0.1%,81.14
"F6S-242418-8W (EFS 24x24x18, 60% Depth Loading Synthetic Pocket Filter (8 pockets))",0.00,0.00,0.0%,0.00,63,6388.77,0.6%,101.41,30,3422.10,0.2%,114.07,245,21842.95,1.9%,89.15,1,0.00,0.0%,0.00,65,6214.71,0.6%,95.61,0.00,0.00,0.0%,0.00,55,5281.87,0.5%,96.03,42,3301.90,0.3%,78.62,280,24364.40,2.4%,87.02,2,85.34,0.0%,42.67,101,9158.07,0.5%,90.67,884.00,80060.11,0.5%,90.57
"F6SS-122412-3W (EFS 12x24x12, 60% Depth Loading Synthetic Pocket Filter (3 pockets))",60,2946.00,0.6%,49.10,19,1028.66,0.1%,54.14,4,216.56,0.0%,54.14,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9,733.32,0.1%,81.48,10,678.30,0.0%,67.83,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,392.80,0.0%,49.10,24,1178.40,0.1%,49.10,6,488.88,0.0%,81.48,140.00,7662.92,0.1%,54.74
"F6SS-242412-8W (EFS 24x24x12, 60% Depth Loading Synthetic Pocket Filter (8 pockets))",300,19470.00,3.7%,64.90,76,5226.42,0.5%,68.77,10,916.30,0.1%,91.63,0.00,0.00,0.0%,0.00,1,0.00,0.0%,0.00,80,6038.52,0.6%,75.48,10,815.30,0.1%,81.53,0.00,0.00,0.0%,0.00,106,7099.50,0.7%,66.98,60,3894.00,0.4%,64.90,138,9227.10,1.0%,66.86,65,4649.37,0.2%,71.53,846.00,57336.51,0.4%,67.77
"F6V4-1224-GWB (MERV 11 (65%) 4V-Bank Filter (12x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9,694.80,0.1%,77.20,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9.00,694.80,0.0%,77.20
"F6V4-2424-GWB (MERV 11 (65%) 4V-Bank Filter (24x24x12) w/DSG)",0.00,0.00,0.0%,0.00,6,526.50,0.0%,87.75,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,877.20,0.0%,73.10,0.00,0.00,0.0%,0.00,6,526.50,0.0%,87.75,18,1403.70,0.1%,77.98,25,2193.75,0.2%,87.75,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,16,1404.00,0.1%,87.75,83.00,6931.65,0.0%,83.51
"F7 Pocket (Air Filter Bag for OMAV Exhaust   320mm Dia exhaust x 520mm Long F7/ME...",30,307.20,0.1%,10.24,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,30.00,307.20,0.0%,10.24
"F7V2-1224-GWB (MERV 13, 2V-Bank Filter (12x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,153.60,0.0%,76.80,0.00,0.00,0.0%,0.00,65,4992.00,0.3%,76.80,6,470.40,0.0%,78.40,7,520.87,0.1%,74.41,0.00,0.00,0.0%,0.00,2,156.80,0.0%,78.40,65,5096.00,0.3%,78.40,147.00,11389.67,0.1%,77.48
"F7V2-2424-GWB (MERV 13, 2V-Bank Filter (24x24x12) w/DSG)",24,2366.16,0.4%,98.59,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,357.00,0.0%,89.25,0.00,0.00,0.0%,0.00,129,11513.25,0.8%,89.25,92,8441.00,0.8%,91.75,0.00,0.00,0.0%,0.00,128,10397.24,1.0%,81.23,73,6417.40,0.7%,87.91,129,11835.75,0.6%,91.75,579.00,51327.80,0.3%,88.65
"F7V3-2020-GWB (MERV 13 3V-Bank Filter (20x20x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,32,2787.52,0.3%,87.11,14,1219.54,0.1%,87.11,12,993.36,0.1%,82.78,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,58.00,5000.42,0.0%,86.21
"F7V4-1224-GWB (MERV 13 4V-Bank Filter (12x24x12) w/DSG)",12,953.64,0.2%,79.47,34,2793.10,0.3%,82.15,0.00,0.00,0.0%,0.00,7,547.05,0.0%,78.15,22,1723.26,0.1%,78.33,72,5850.15,0.6%,81.25,42,3269.10,0.2%,77.84,127,10206.69,1.0%,80.37,42,3464.90,0.3%,82.50,50,4287.62,0.4%,85.75,50,4054.24,0.4%,81.08,16,1334.88,0.1%,83.43,474.00,38484.63,0.3%,81.19
"F7V4-2024-GWB (MERV 16 (95%) 4V-Bank Filter (20x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,692.02,0.1%,86.50,0.00,0.00,0.0%,0.00,44,4015.88,0.4%,91.27,0.00,0.00,0.0%,0.00,297,24994.53,2.4%,84.16,29,2646.83,0.3%,91.27,56,4632.32,0.5%,82.72,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,434.00,36981.58,0.2%,85.21
"F7V4-2424-GWB (MERV 13 4V-Bank Filter (24x24x12) w/DSG)",0.00,0.00,0.0%,0.00,107,9777.66,0.9%,91.38,116,10722.96,0.6%,92.44,135,12774.20,1.1%,94.62,794,65978.20,3.2%,83.10,171,15323.38,1.5%,89.61,161,14790.71,1.0%,91.87,272,25743.20,2.5%,94.64,283,26678.02,2.6%,94.27,282,27010.08,2.6%,95.78,223,20551.23,2.3%,92.16,64,6092.80,0.3%,95.20,2608.00,235442.44,1.6%,90.28
"F7V4-2424-W (MERV 13 4V-Bank Filter (24x24x12) No gasket)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,30,4023.30,0.2%,134.11,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,30.00,4023.30,0.0%,134.11
"F8-06-242415-W (F8 (95%) 6 Pocket, Synthetic Bag Filter (24x24x15) with Extruded ...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,153.90,0.0%,51.30,0.00,0.00,0.0%,0.00,143,7335.90,0.7%,51.30,0.00,0.00,0.0%,0.00,6,316.02,0.0%,52.67,6,307.80,0.0%,51.30,0.00,0.00,0.0%,0.00,158.00,8113.62,0.1%,51.35
"F8-08BAG122422 (EFS 12x24x22, F8/MERV 14, 4 Pocket Bag Filter with Aluminum Frame)",0.00,0.00,0.0%,0.00,12,634.68,0.1%,52.89,16,1026.40,0.1%,64.15,4,185.90,0.0%,46.48,10,528.90,0.0%,52.89,0.00,0.00,0.0%,0.00,42,2365.20,0.2%,56.31,0.00,0.00,0.0%,0.00,8,225.92,0.0%,28.24,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,38,1911.22,0.1%,50.30,130.00,6878.22,0.0%,52.91
"F8-08BAG242422 (EFS 24x24x22, F8/MERV 14, 8 Pocket Bag Filter with Aluminum Frame)",4,226.72,0.0%,56.68,16,983.52,0.1%,61.47,16,906.88,0.1%,56.68,54,3520.16,0.3%,65.19,36,2212.92,0.1%,61.47,0.00,0.00,0.0%,0.00,130,7586.98,0.5%,58.36,18,873.90,0.1%,48.55,8,390.96,0.0%,48.87,16,906.88,0.1%,56.68,21,1290.87,0.1%,61.47,18,825.42,0.0%,45.86,337.00,19725.21,0.1%,58.53
