,"Jan 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
"Commercial",295306.34,297012.64,272804.44,139338.65,200989.23,119734.36,229731.48,188693.32,244936.32,148772.94,215908.13,257424.52,2610652.37
"Fluid",3841.64,2877.24,0.00,5373.44,15191.91,17202.81,7106.68,1714.31,0.00,3571.58,0.00,0.00,56879.61
"Hospital",37041.92,32209.06,37926.57,31124.89,3735.16,10110.10,8498.84,32565.03,59042.73,21983.58,46985.09,21672.86,342895.83
"Hospital Service",111077.48,277533.80,451790.78,411910.45,305737.34,557060.58,378205.21,473576.00,344079.27,367789.61,109791.85,521756.12,4310308.49
"Reseller",360895.29,385139.96,244593.53,219333.10,353257.11,176118.60,352805.67,136745.81,217687.12,290351.23,127536.29,187123.02,3051586.73
"School - University",31543.05,17648.16,34596.70,73461.20,268454.79,21908.98,40773.79,23957.55,35821.93,13244.66,24945.86,94062.43,680419.10
"Turbine",142002.96,256376.64,285360.51,88291.76,413380.35,185716.50,220631.73,52695.64,60783.03,109809.23,275773.97,174117.84,2264940.16
"Turbine Service",40612.20,10049.60,395588.93,829584.97,26017.92,159992.62,24669.48,22304.02,19647.56,62613.01,172540.72,201836.05,1965457.08
"TOTAL",1022320.88,1278847.10,1722661.46,1798418.46,1586763.81,1247844.55,1262422.88,932251.68,981997.96,1018135.84,973481.91,1457992.84,15283139.37
