,"Jan 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
"Precision Filter Products, LLC",3400.54,0.00,16818.66,162.60,1440.40,5964.80,5855.25,1125.80,769.20,0.00,0.00,0.00,35537.25
"Precision Iceblast Corp.",0.00,0.00,0.00,209890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209890.00
"Riverfront Machine",2353.71,0.00,0.00,0.00,0.00,0.00,0.00,3091.20,2888.68,0.00,0.00,0.00,8333.59
"RSE Incorporated",6563.25,0.00,0.00,16226.73,138.69,0.00,268.40,0.00,5392.14,0.00,0.00,138.69,28727.90
"SHW FILTER-Guangzhou Sun",0.00,0.00,0.00,17024.06,0.00,0.00,0.00,0.00,18984.06,0.00,0.00,0.00,36008.12
"Smith Filter",0.00,0.00,0.00,0.00,0.00,222.68,0.00,0.00,437.88,0.00,0.00,291.92,952.48
"SoCal Filters and Service",0.00,0.00,11527.57,0.00,0.00,0.00,1314.88,0.00,0.00,0.00,0.00,8967.76,21810.21
"Springfield Spring Corporation",0.00,0.00,6850.00,1216.00,0.00,0.00,10900.00,0.00,0.00,0.00,0.00,0.00,18966.00
"Techno Coatings",0.00,0.00,0.00,0.00,29972.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29972.00
"Total Filtration Services",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4077.36,4077.36
"UV Resources (Steril-Aire)",38137.05,0.00,1315.80,3922.65,0.00,4428.00,1593.90,0.00,878.85,791.10,14837.85,1337.80,67243.00
"W.L Gore & Associates, Inc",0.00,0.00,0.00,0.00,2800.00,2450.00,0.00,0.00,0.00,0.00,0.00,0.00,5250.00
"Wetzel Technologies Co., Ltd",146207.76,106584.15,75792.86,167797.24,146109.60,175747.90,262551.05,158332.15,39813.28,71319.99,68971.66,239749.88,1658977.52
"Zephyr Filtration",19843.20,0.00,0.00,19843.20,0.00,0.00,0.00,0.00,1347.84,0.00,0.00,0.00,41034.24
"TOTAL",574280.67,534140.48,655428.65,872385.60,463852.60,548973.04,582360.17,373935.45,361433.23,168399.65,449359.33,640082.55,6224631.42
