,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"Inventory","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"F7V4-1224-GWB (MERV 13 4V-Bank Filter (12x24x12) w/DSG)",64,5010.60,0.6%,78.29,4,284.16,0.0%,71.04,4,299.12,0.0%,74.78,34,2639.10,0.2%,77.62,0.00,0.00,0.0%,0.00,12,968.04,0.1%,80.67,0.00,0.00,0.0%,0.00,2,162.40,0.0%,81.20,83,8152.17,0.9%,98.22,0.00,0.00,0.0%,0.00,16,1298.00,0.1%,81.13,6,486.54,0.0%,81.09,225.00,19300.13,0.1%,85.78
"F7V4-2024-GWB (MERV 16 (95%) 4V-Bank Filter (20x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,29,2264.90,0.2%,78.10,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,29.00,2264.90,0.0%,78.10
"F7V4-2424-GWB (MERV 13 4V-Bank Filter (24x24x12) w/DSG)",199,18248.05,2.2%,91.70,20,1697.00,0.2%,84.85,0.00,0.00,0.0%,0.00,461,43041.18,3.3%,93.36,0.00,0.00,0.0%,0.00,48,4534.56,0.4%,94.47,300,20520.00,2.2%,68.40,4,429.64,0.0%,107.41,196,22001.30,2.4%,112.25,0,0.00,0.0%,0.00,266,25944.04,1.9%,97.53,111,9694.94,0.7%,87.34,1605.00,146110.71,1.1%,91.03
"F7V4-2424-W (MERV 13 4V-Bank Filter (24x24x12) No gasket)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,30,2881.50,0.3%,96.05,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,30.00,2881.50,0.0%,96.05
"F8-06-122415-W (F8 (95%) 6 Pocket, Synthetic Bag Filter (12x24x15) with Extruded ...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,16,755.04,0.1%,47.19,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,16.00,755.04,0.0%,47.19
"F8-06-242415-W (F8 (95%) 6 Pocket, Synthetic Bag Filter (24x24x15) with Extruded ...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,513.00,0.0%,51.30,135,6925.50,0.7%,51.30,6,291.30,0.0%,48.55,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,151.00,7729.80,0.1%,51.19
"F8-08BAG122422 (EFS 12x24x22, F8/MERV 14, 4 Pocket Bag Filter with Aluminum Frame)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,105.78,0.0%,52.89,2.00,105.78,0.0%,52.89
"F8-08BAG242422 (EFS 24x24x22, F8/MERV 14, 8 Pocket Bag Filter with Aluminum Frame)",24,1494.32,0.2%,62.26,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,184.41,0.0%,61.47,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,88,4671.74,0.5%,53.09,16,906.88,0.1%,56.68,0.00,0.00,0.0%,0.00,21,1290.87,0.1%,61.47,6,197.16,0.0%,32.86,30,1844.10,0.1%,61.47,188.00,10589.48,0.1%,56.33
"F8V2-1224-GWB (MERV 16 (95%) 2V-Bank Filter (12x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,61,4404.20,0.3%,72.20,61.00,4404.20,0.0%,72.20
"F8V2-2424-GWB (MERV 16 (95%) 2V-Bank Filter (24x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,554.96,0.0%,79.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,13,1030.64,0.1%,79.28,75,6828.30,0.7%,91.04,0.00,0.00,0.0%,0.00,498,42673.62,2.9%,85.69,593.00,51087.52,0.4%,86.15
"F8V3-2020-GWB (MERV 16 (95%) 3V-Bank Filter (20x20x12) w/DSG)",0.00,0.00,0.0%,0.00,8,650.16,0.1%,81.27,103,8934.80,0.7%,86.75,24,2065.68,0.2%,86.07,40,3015.68,0.3%,75.39,90,8020.74,0.8%,89.12,78,6196.30,0.7%,79.44,0.00,0.00,0.0%,0.00,22,1758.24,0.2%,79.92,0.00,0.00,0.0%,0.00,34,2646.88,0.2%,77.85,0.00,0.00,0.0%,0.00,399.00,33288.48,0.3%,83.43
"F8V4-1224-GWB (MERV 16 (95%) 4V-Bank Filter (12x24x12) w/DSG)",69,5651.05,0.7%,81.90,258,18990.16,1.8%,73.61,234,16428.63,1.3%,70.21,138,10832.59,0.8%,78.50,223,17620.72,1.6%,79.02,341,27102.67,2.6%,79.48,284,21448.71,2.3%,75.52,299,23729.19,2.6%,79.36,344,25231.67,2.8%,73.35,17,1469.92,0.2%,86.47,403,30390.94,2.2%,75.41,335,24280.91,1.7%,72.48,2945.00,223177.16,1.7%,75.78
"F8V4-1224-W (MERV 16 (95%) 4V-Bank Filter (12x24x12) NO GASKET)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,1126.44,0.1%,93.87,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,1126.44,0.0%,93.87
"F8V4-2024-GWB (MERV 16 (95%) 4V-Bank Filter (20x24x12) w/DSG)",57,6124.58,0.7%,107.45,12,1098.00,0.1%,91.50,76,7010.72,0.5%,92.25,57,4506.65,0.3%,79.06,101,7490.02,0.7%,74.16,246,22833.26,2.2%,92.82,275,23501.23,2.5%,85.46,105,9500.57,1.1%,90.48,15,1368.50,0.2%,91.23,4,305.72,0.0%,76.43,95,7671.70,0.6%,80.75,15,1321.89,0.1%,88.13,1058.00,92732.84,0.7%,87.65
"F8V4-2424-GWB (MERV 16 (95%) 4V-Bank Filter (24x24x12) w/DSG)",782,75670.92,9.1%,96.77,1129,104560.10,10.1%,92.61,2511,249344.59,19.2%,99.30,1348,128275.94,9.9%,95.16,2278,240035.88,22.0%,105.37,1299,118069.96,11.2%,90.89,1962,164413.66,17.3%,83.80,1572,150914.91,16.8%,96.00,2249,194380.35,21.4%,86.43,712,56923.31,6.0%,79.95,1770,151193.47,11.0%,85.42,928,77688.34,5.3%,83.72,18540.00,1711471.43,13.0%,92.31
"F8V4-2424-W (MERV 16 (95%) 4V-Bank Filter (24x24x12) NO GASKET)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,493.00,0.1%,98.60,12,2022.48,0.2%,168.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,17.00,2515.48,0.0%,147.97
"F8V4DH-1224-GWB (EFS F8, MERV 16 (95%) V4-Bank Filter 12x24x12 RP Gasketed DOUBLE...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,11,771.21,0.1%,70.11,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,11.00,771.21,0.0%,70.11
"F8V4DH-2424-GWB (EFS F8 MERV 16 (95%) V4-Bank Filter (24x24x12) RP Gasketed DOUBL...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,120,11540.40,0.9%,96.17,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,120.00,11540.40,0.1%,96.17
"F8V4GL-1224-GWB (MERV 16 Glass Media (95%) 4V-Bank Filter (12x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,18,1892.88,0.2%,105.16,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,18.00,1892.88,0.0%,105.16
"F8V4GL-2424-GWB (MERV 15 Glass Media (95%) 4V-Bank Filter (24x24x12) w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,44,4880.04,0.5%,110.91,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,44.00,4880.04,0.0%,110.91
"F9V4-1224-GWB (EFS F9 96% 4V-Bank Filter (12x24x12) w/DSG)",42,2910.60,0.3%,69.30,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,60,4416.00,0.3%,73.60,102.00,7326.60,0.1%,71.83
"F9V4-2424-GWB (EFS F9 96% 4V-Bank Filter (24x24x12) w/DSG)",216,17871.84,2.1%,82.74,16,2382.72,0.2%,148.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,32,4863.84,0.5%,152.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,216,19051.20,1.3%,88.20,480.00,44169.60,0.3%,92.02
"FCC-W ( Canister Washer 2 3/8 x 1/2 (without lip))",2000,2420.00,0.3%,1.21,2300,2921.00,0.3%,1.27,3500,4235.00,0.3%,1.21,325,500.75,0.0%,1.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12100,15265.00,1.7%,1.26,0.00,0.00,0.0%,0.00,3002,3630.00,0.4%,1.21,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,23227.00,28971.75,0.2%,1.25
"FF-44 (24x24x3 Filter Frame)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,50,1332.50,0.1%,26.65,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,50.00,1332.50,0.0%,26.65
"FGP-CARB 1/1 G (24x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG)",58,12848.16,1.5%,221.52,118,27880.76,2.7%,236.28,0.00,0.00,0.0%,0.00,554,106169.06,8.2%,191.64,59,16690.34,1.5%,282.89,142,32507.76,3.1%,228.93,102,29712.04,3.1%,291.29,192,47151.36,5.2%,245.58,59,13137.36,1.4%,222.67,80,19210.56,2.0%,240.13,44,12079.70,0.9%,274.54,149,39244.37,2.7%,263.39,1557.00,356631.47,2.7%,229.05
"FGP-CARB 1/2 G (12x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,47,6545.74,0.5%,139.27,0.00,0.00,0.0%,0.00,3,378.20,0.0%,126.07,12,3647.28,0.4%,303.94,64,12488.96,1.4%,195.14,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,1838.82,0.1%,153.24,0.00,0.00,0.0%,0.00,138.00,24899.00,0.2%,180.43
"FGP-CARBM14 1/1 G (24x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,1193.10,0.1%,198.85,0.00,0.00,0.0%,0.00,71,14804.21,1.6%,208.51,90,23499.00,1.7%,261.10,0.00,0.00,0.0%,0.00,167.00,39496.31,0.3%,236.50
"FGP-CARBM14 1/2 G (12x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,876.54,0.1%,146.09,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6.00,876.54,0.0%,146.09
"FGP-CARBM14 5/6 G (20x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,559.71,0.1%,186.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3.00,559.71,0.0%,186.57
"FGP-CARBW-M14 1/1G (MERV 14, 24x24x12, V-Bank Style Extended Surface Carbon (500g...",0.00,0.00,0.0%,0.00,171,41446.98,4.0%,242.38,0.00,0.00,0.0%,0.00,11,2843.61,0.2%,258.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,192,49710.72,5.2%,258.91,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,374.00,94001.31,0.7%,251.34
"FGP-CARBW-M14 1/2G (MERV 14, 12x24x12, V-Bank Style Extended Surface Carbon (500g...",0.00,0.00,0.0%,0.00,93,15672.36,1.5%,168.52,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,64,13287.68,1.4%,207.62,22,3983.98,0.3%,181.09,0.00,0.00,0.0%,0.00,179.00,32944.02,0.3%,184.04
"FHT-F6-232312W-SH (EFS High Temp. Air Filter, 23-3/8"" x 23-3/8"" x  11½"" , Aluminu...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,200,17800.00,1.9%,89.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,200.00,17800.00,0.1%,89.00
"FHT-F8-232312W-SH (EFS High Temp. F8 Air Filter, 23-3/8"" x 23-3/8"" x 11½"" , Alumi...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,883.20,0.1%,147.20,6.00,883.20,0.0%,147.20
"FM80GT-24244 (24x24x4 Disposable Coalescer Filter Pad  with Tackifier)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,192,1382.40,0.1%,7.20,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,192.00,1382.40,0.0%,7.20
"FP-4VH13HEPA-2323115-WGH (EFS H13 (99.99%) High Volume HEPA Filter, V4-bank style...",0.00,0.00,0.0%,0.00,4,1197.24,0.1%,299.31,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9,2459.52,0.3%,273.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,1795.86,0.1%,299.31,0.00,0.00,0.0%,0.00,19.00,5452.62,0.0%,286.98
"FP-H10HEPA-2424115-WPP (EFS H10 (99%) High Volume HEPA Filter, 24"" x 24"" x 11.5"" ...",0.00,0.00,0.0%,0.00,6,1240.26,0.1%,206.71,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,1240.26,0.1%,206.71,6,1240.26,0.1%,206.71,0.00,0.00,0.0%,0.00,18.00,3720.78,0.0%,206.71
"FP-H13HEPA-1123115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,1158.99,0.1%,165.57,4,690.84,0.1%,172.71,4,691.00,0.1%,172.75,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,1585.16,0.2%,198.15,3,541.23,0.1%,180.41,10,1612.00,0.2%,161.20,2,291.14,0.0%,145.57,10,1612.00,0.1%,161.20,48.00,8182.36,0.1%,170.47
"FP-H13HEPA-1224115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 12"" x 24"" x 11.5...",8,1438.64,0.2%,179.83,2,543.88,0.1%,271.94,4,999.66,0.1%,249.92,8,3053.76,0.2%,381.72,26,4334.70,0.4%,166.72,2,179.83,0.0%,89.92,8,1949.40,0.2%,243.68,18,4894.92,0.5%,271.94,19,3562.50,0.4%,187.50,0,0.00,0.0%,0.00,14,2772.96,0.2%,198.07,0.00,0.00,0.0%,0.00,109.00,23730.25,0.2%,217.71
"FP-H13HEPA-2323115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 23-3/8"" x 23-3/8...",52,9236.82,1.1%,177.63,16,5112.00,0.5%,319.50,12,2312.40,0.2%,192.70,56,14999.36,1.2%,267.85,12,2570.76,0.2%,214.23,17,4295.70,0.4%,252.69,101,27095.45,2.8%,268.27,53,12310.99,1.4%,232.28,17,6150.60,0.7%,361.80,26,4832.62,0.5%,185.87,24,4542.00,0.3%,189.25,7,1115.22,0.1%,159.32,393.00,94573.92,0.7%,240.65
"FP-H13HEPA-2424115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 24"" x 24"" x 11.5...",48,12056.96,1.4%,251.19,71,22390.21,2.2%,315.36,128,32491.91,2.5%,253.84,69,23847.32,1.8%,345.61,52,11763.00,1.1%,226.21,46,11550.96,1.1%,251.11,178,53485.72,5.6%,300.48,90,19958.24,2.2%,221.76,81,18458.58,2.0%,227.88,32,9460.80,1.0%,295.65,67,18300.34,1.3%,273.14,39,10820.66,0.7%,277.45,901.00,244584.70,1.9%,271.46
"FP-H14HEPA-242012-WG (EFS H14 (99.999%) High Volume HEPA Filter, 24x20x12"" with P...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,511.80,0.0%,255.90,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,511.80,0.0%,255.90
"GALV3401-12243 (12x24x3 Galv Blank Frames)",4,101.56,0.0%,25.39,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,101.56,0.0%,25.39
"GALV3401-20243 (20x24x3 Galv Blank Frames)",400,10768.00,1.3%,26.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,400.00,10768.00,0.1%,26.92
"GALV3401-24243 (24x24x3 Galv Blank Frames)",44,1218.80,0.1%,27.70,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,44.00,1218.80,0.0%,27.70
"GDS12201 (12x20x1 Glass Double Strut Disposable)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,36,127.80,0.0%,3.55,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,36.00,127.80,0.0%,3.55
"HVP10101 (10x10x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,60,294.60,0.0%,4.91,60.00,294.60,0.0%,4.91
"HVP10201 (10x20x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,31,206.87,0.0%,6.67,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,11.14,0.0%,5.57,22,122.74,0.0%,5.58,48,246.72,0.0%,5.14,103.00,587.47,0.0%,5.70
"HVP10202XM (10x20x2 High Capacity Pleat w/Heavy Expanded Metal)",4,23.52,0.0%,5.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,23.52,0.0%,5.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,24.48,0.0%,6.12,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,24.48,0.0%,6.12,0.00,0.00,0.0%,0.00,16.00,96.00,0.0%,6.00
"HVP10221XMSP (10x22x1 SPECIAL High Capacity Pleat w/Heavy Expanded Metal)",2,50.28,0.0%,25.14,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,50.28,0.0%,25.14,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,100.56,0.0%,25.14
"HVP10241 (10x24x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,27.45,0.0%,9.15,0.00,0.00,0.0%,0.00,3.00,27.45,0.0%,9.15
"HVP10252 (10x25x2 MERV10 High Capacity Pleat)",1,5.23,0.0%,5.23,7,171.99,0.0%,24.57,0.00,0.00,0.0%,0.00,1,5.23,0.0%,5.23,8,196.56,0.0%,24.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,196.56,0.0%,24.57,0.00,0.00,0.0%,0.00,9,221.13,0.0%,24.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,34.00,796.70,0.0%,23.43
